date,オナガガモ,シマアジ,ハシビロガモ,アカハシハジロ,ホシハジロ,アカハジロ,キンクロハジロ,スズガモ,ホオジロガモ,ミコアイサ,カワアイサ,コジュケイ,キジ,クイナ,ヒクイナ,バン,オオバン
20200105,0,0,30,0,0,0,2,0,0,1,0,0,0,0,0,0,31
20200202,2,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,52
20200301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52
20200405,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49
20200501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200705,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20200906,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20201004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
20201101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,70
20201206,0,0,2,0,5,0,3,0,0,1,0,0,0,0,1,0,54
